title,genre,description,published_year
The Great Gatsby,Fiction,A story of wealth and obsession in 1920s America,1925
To Kill a Mockingbird,Fiction,A story about racial injustice in the American South,1960
1984,Dystopia,A totalitarian society where Big Brother watches everyone,1949
Pride and Prejudice,Romance,The story of Elizabeth Bennet and Mr. Darcy,1813
The Catcher in the Rye,Coming-of-Age,A teenage boy's perspective on adult society,1951
Brave New World,Dystopia,A future society controlled by technology and pleasure,1932
The Hobbit,Fantasy,A hobbit goes on an unexpected adventure,1937
Animal Farm,Political Fiction,Farm animals rebel against their human farmer,1945
Lord of the Flies,Fiction,Boys stranded on an island create their own society,1954
The Alchemist,Adventure,A shepherd boy's journey to find his destiny,1988
Harry Potter and the Sorcerer's Stone,Fantasy,A boy discovers he is a wizard on his 11th birthday,1997
The Da Vinci Code,Thriller,A murder in the Louvre leads to a secret society,2003
Gone with the Wind,Historical Fiction,A woman's survival during the American Civil War,1936
The Grapes of Wrath,Historical Fiction,An Oklahoma family migrates to California during the Depression,1939
Of Mice and Men,Fiction,Two friends dream of owning their own farm,1937
Fahrenheit 451,Dystopia,A fireman in a future where books are burned,1953
Jane Eyre,Romance,An orphan girl becomes a governess and falls in love,1847
Wuthering Heights,Gothic,A passionate and dark love story on the English moors,1847
The Picture of Dorian Gray,Gothic,A man stays young while his portrait ages,1890
Moby Dick,Adventure,A sea captain's obsession with hunting a white whale,1851
War and Peace,Historical Fiction,Russian society during the Napoleonic Wars,1869
Crime and Punishment,Psychological Fiction,A student commits a crime and deals with the guilt,1866
One Hundred Years of Solitude,Magical Realism,Seven generations of the Buendia family in Colombia,1967
Don Quixote,Adventure,A man becomes a knight and fights windmills,1605
The Odyssey,Epic,The long journey of Odysseus home after the Trojan War,800BC
Frankenstein,Horror,A scientist creates a monster with terrible consequences,1818
Dracula,Horror,A vampire terrorizes Victorian England,1897
Sherlock Holmes Adventures,Mystery,The famous detective solves impossible cases,1892
And Then There Were None,Mystery,Ten strangers are murdered one by one on an island,1939
Murder on the Orient Express,Mystery,A detective solves a murder on a snowed-in train,1934
The Girl with the Dragon Tattoo,Thriller,A journalist investigates a decades-old disappearance,2005
Gone Girl,Psychological Thriller,A wife disappears and her husband becomes the suspect,2012
The Silence of the Lambs,Thriller,An FBI agent seeks help from a cannibal to catch a killer,1988
Fight Club,Drama,An insomniac forms an underground fighting club,1996
The Road,Post-Apocalyptic,A father and son travel through a destroyed America,2006
The Old Man and the Sea,Adventure,An old fisherman battles a giant marlin for days,1952
Slaughterhouse-Five,Science Fiction,A soldier becomes unstuck in time during World War II,1969
Catch-22,Satire,A pilot tries to avoid combat missions using logic,1961
The Stranger,Existential Fiction,A man commits murder and feels no remorse,1942
The Little Prince,Children's Fiction,A prince travels from planet to planet learning life lessons,1943
Charlotte's Web,Children's Fiction,A spider saves her pig friend from being eaten,1952
The Secret Garden,Children's Fiction,A girl discovers a hidden garden and finds joy,1911
Alice in Wonderland,Fantasy,A girl falls into a rabbit hole into a strange world,1865
Treasure Island,Adventure,A boy finds a treasure map and sets sail for adventure,1883
Robinson Crusoe,Adventure,A man is stranded on a deserted island for 28 years,1719
Gulliver's Travels,Satire,A sailor visits lands of tiny people and giants,1726
The Count of Monte Cristo,Adventure,A man escapes prison and takes revenge on his enemies,1844
Les Miserables,Historical Fiction,A former convict seeks redemption in 19th century France,1862
The Three Musketeers,Adventure,Three swordsmen defend the French royal family,1844
Around the World in 80 Days,Adventure,A wealthy man bets he can circle the globe in 80 days,1872
